origin_country,destination_country,passengers
Vietnam,Poland,181
Hungary,Ireland,445
Ukraine,Indonesia,461
Japan,Thailand,39
Japan,Ireland,386
Kenya,Italy,321
Czechia,Malaysia,192
India,Portugal,314
Spain,Philippines,131
UAE,Malaysia,37
Brazil,Kenya,202
Germany,UAE,465
Colombia,Germany,443
Ukraine,Qatar,426
Israel,Egypt,102
Greece,Russia,413
Ukraine,Turkey,428
Japan,Australia,500
Singapore,Sweden,116
Malaysia,Sweden,141
Greece,Romania,164
Ghana,Singapore,61
India,Portugal,259
Romania,UK,67
Peru,Finland,278
Poland,Jordan,87
Iran,Japan,473
Indonesia,Colombia,83
Mexico,Peru,334
Brazil,Iran,246
Canada,Poland,390
Iran,India,194
Greece,Egypt,191
UK,Vietnam,27
Australia,Russia,400
Spain,Philippines,265
Spain,Indonesia,394
Switzerland,Colombia,418
Italy,New Zealand,150
Poland,Hungary,74
USA,Belgium,474
Oman,France,379
Ghana,Hungary,266
India,Ghana,298
Portugal,Japan,282
Poland,Belgium,170
Switzerland,China,462
Jordan,Colombia,119
Switzerland,UK,127
Ireland,France,216
Vietnam,USA,222
Canada,Israel,461
South Africa,Singapore,173
Norway,Greece,35
Hungary,Iraq,390
Czechia,New Zealand,51
Jordan,Austria,331
Egypt,Israel,282
Oman,Romania,254
UAE,Philippines,436
UK,Denmark,161
Philippines,Iraq,349
Indonesia,Czechia,243
Sweden,Czechia,189
Egypt,UAE,381
Turkey,Egypt,287
Denmark,Chile,484
Denmark,Nigeria,37
Germany,Iraq,427
Peru,Ghana,217
Argentina,Netherlands,395
Canada,Vietnam,456
Finland,Czechia,434
China,Oman,95
Philippines,Ukraine,39
Turkey,Colombia,476
Canada,Iraq,271
Australia,Egypt,459
Mexico,Spain,390
Sweden,Jordan,43
USA,Kenya,326
Chile,Singapore,237
Qatar,Indonesia,168
USA,Malaysia,182
Mexico,Argentina,154
Norway,Iraq,103
Jordan,Canada,416
Egypt,Italy,224
France,Philippines,176
Italy,Philippines,303
India,Colombia,386
Australia,Colombia,89
Nigeria,Russia,243
China,South Korea,214
Switzerland,Czechia,421
Denmark,India,173
France,South Korea,437
Qatar,Canada,121
Sweden,Philippines,193
Denmark,Canada,486
Denmark,Nigeria,29
Hungary,Oman,487
Philippines,Brazil,355
New Zealand,Peru,79
USA,Portugal,292
Chile,China,378
Australia,Qatar,343
Hungary,Oman,435
Finland,Peru,389
Switzerland,Qatar,298
Colombia,Ukraine,342
Canada,Japan,342
Jordan,Denmark,278
Jordan,Argentina,165
Netherlands,Oman,373
UK,Saudi Arabia,141
USA,China,297
USA,Switzerland,409
Brazil,Romania,400
Malaysia,Portugal,141
Sweden,Australia,15
India,Egypt,107
France,India,97
Denmark,Brazil,143
Japan,India,419
Singapore,USA,359
Oman,Vietnam,401
Poland,Canada,352
Norway,Netherlands,75
Finland,Belgium,229
Vietnam,Argentina,459
Italy,Portugal,200
Iran,Peru,56
Romania,Belgium,195
Singapore,Poland,157
Ukraine,Indonesia,125
Colombia,Canada,265
Turkey,Qatar,5
Jordan,Indonesia,338
Saudi Arabia,Peru,193
Ghana,Netherlands,358
Belgium,South Korea,30
Malaysia,Jordan,133
Finland,Romania,418
UK,New Zealand,460
UK,Hungary,164
Peru,Austria,459
Romania,South Africa,258
USA,Iran,265
Iraq,Greece,13
UK,Jordan,393
Ukraine,Finland,189
Singapore,France,141
Japan,Thailand,483
Kenya,Greece,345
Ukraine,Chile,137
Jordan,Philippines,387
Iran,France,440
USA,UAE,479
Sweden,Austria,51
Hungary,Singapore,270
Spain,Jordan,480
Peru,Norway,214
Colombia,Russia,26
Saudi Arabia,Japan,138
France,Argentina,145
Austria,Norway,91
New Zealand,Finland,365
Portugal,Thailand,338
Nigeria,Turkey,426
Saudi Arabia,Belgium,458
New Zealand,Turkey,351
Sweden,Israel,240
Nigeria,Brazil,60
Norway,Poland,410
China,Mexico,204
Austria,Germany,102
Czechia,Japan,348
Thailand,Indonesia,143
Australia,USA,188
Australia,Egypt,484
Indonesia,Finland,275
Ireland,South Korea,401
Mexico,Greece,31
Belgium,Vietnam,229
Germany,Indonesia,44
Portugal,South Korea,410
Finland,Thailand,308
Belgium,Indonesia,368
South Korea,Switzerland,304
Portugal,Italy,262
Israel,Poland,357
Netherlands,Sweden,186
Spain,Switzerland,72
Chile,Portugal,459
Chile,UAE,277
UAE,Japan,436
Vietnam,Singapore,419
Switzerland,Iraq,12
Germany,Qatar,142
Austria,Switzerland,152
Jordan,Germany,123
Malaysia,Ukraine,106
Canada,Switzerland,64
Hungary,Ukraine,249
Thailand,Peru,83
Israel,Iran,361
India,Ireland,66
Brazil,Chile,285
New Zealand,Thailand,310
France,Germany,451
Austria,Romania,199
Ghana,Norway,338
Mexico,Japan,185
Malaysia,Peru,339
Romania,Portugal,215
Russia,New Zealand,423
Australia,Chile,282
Philippines,Malaysia,240
USA,Sweden,425
Germany,Iran,373
Egypt,Qatar,73
Poland,Thailand,200
Ghana,Germany,256
Mexico,Qatar,90
Australia,Greece,456
Saudi Arabia,USA,49
Philippines,Norway,493
Thailand,Argentina,50
Portugal,UK,75
Portugal,South Korea,157
Peru,Germany,95
Romania,India,270
Brazil,Vietnam,481
Peru,UAE,484
Italy,Iraq,87
Netherlands,UAE,47
Canada,Poland,270
Indonesia,Italy,276
Argentina,Finland,196
USA,Argentina,163
Australia,Israel,448
Argentina,Denmark,409
Oman,South Africa,461
Japan,Jordan,49
South Africa,UAE,190
Austria,Belgium,103
Egypt,New Zealand,223
Ukraine,Denmark,432
Australia,Russia,64
South Africa,China,331
Oman,Mexico,297
Colombia,Qatar,197
France,Turkey,204
Singapore,Peru,154
Netherlands,Indonesia,148
China,Romania,289
Greece,Russia,160
Portugal,France,497
Philippines,Mexico,218
UAE,Vietnam,355
Iran,Saudi Arabia,157
Brazil,Portugal,151
Jordan,Finland,143
Nigeria,New Zealand,96
Singapore,Kenya,277
Argentina,Indonesia,1
India,Iran,330
Spain,Belgium,59
Peru,Poland,485
Czechia,Colombia,51
UK,Portugal,102
Singapore,Russia,394
Iran,India,96
Netherlands,China,64
Israel,Mexico,328
Belgium,Indonesia,459
Thailand,Argentina,295
Greece,Nigeria,415
Philippines,Kenya,145
Philippines,Russia,39
France,Argentina,467
Vietnam,Czechia,279
Jordan,Romania,105
Spain,Portugal,65
Belgium,Germany,264
Ukraine,China,414
France,Italy,432
Indonesia,Italy,200
Saudi Arabia,Kenya,71
Romania,USA,249
Russia,Qatar,81
South Korea,Russia,266
New Zealand,Ireland,268
India,Singapore,270
UAE,Jordan,441
Ukraine,Saudi Arabia,101
Philippines,Spain,371
Portugal,India,32
UK,Australia,265
New Zealand,India,66
Kenya,South Africa,316
New Zealand,Netherlands,406
Jordan,Chile,301
Jordan,South Africa,394
Spain,Philippines,118
Vietnam,Australia,470
Switzerland,South Korea,241
Finland,Spain,308
Netherlands,Sweden,399
Russia,Ghana,187
Czechia,Belgium,200
Norway,Germany,162
Brazil,Mexico,9
Peru,Mexico,276
Jordan,Finland,30
Kenya,Greece,422
Iran,Czechia,335
Canada,Ukraine,250
Oman,France,77
Kenya,Germany,377
Austria,Indonesia,252
Iraq,Oman,16
Sweden,Finland,229
Switzerland,UK,426
Switzerland,Greece,275
Argentina,Peru,27
Ireland,Poland,195
Saudi Arabia,Colombia,478
Greece,Egypt,478
Finland,South Korea,243
Switzerland,Philippines,111
Peru,Switzerland,61
Peru,Denmark,463
Colombia,UAE,433
Malaysia,Kenya,330
France,Ukraine,259
Oman,Kenya,324
Malaysia,Nigeria,315
Denmark,Belgium,236
Portugal,UK,491
Indonesia,Jordan,113
Germany,Qatar,484
Vietnam,Greece,466
Kenya,UAE,381
Vietnam,Philippines,376
Chile,Canada,195
Russia,Switzerland,458
Vietnam,India,495
Sweden,New Zealand,250
Iraq,Sweden,403
Thailand,Netherlands,457
Indonesia,Singapore,17
Singapore,Mexico,142
Norway,Japan,214
Sweden,Qatar,53
Romania,Austria,413
Russia,Iraq,352
Oman,Romania,56
Norway,India,234
Singapore,Spain,312
Oman,Austria,444
Japan,UK,157
Norway,Switzerland,410
New Zealand,Spain,247
Finland,Mexico,383
New Zealand,Peru,205
Greece,Germany,199
Japan,Czechia,251
India,Russia,360
Saudi Arabia,Romania,249
Nigeria,Mexico,232
Hungary,Chile,237
Peru,UK,393
Ukraine,Netherlands,442
India,Israel,258
Philippines,Italy,286
Japan,Israel,324
Nigeria,Singapore,462
Austria,Thailand,425
Ukraine,France,227
Switzerland,Oman,196
Malaysia,Indonesia,277
Nigeria,Jordan,470
Greece,Philippines,479
Belgium,Ukraine,342
China,Iran,250
Colombia,Iran,93
Ghana,Australia,476
India,South Africa,381
Austria,Kenya,396
Czechia,New Zealand,255
Hungary,New Zealand,232
Norway,Nigeria,446
Iraq,Jordan,351
Sweden,New Zealand,377
Greece,Ukraine,321
Oman,Philippines,304
China,Romania,362
Mexico,UK,353
Denmark,Norway,94
Romania,Germany,195
Iran,Greece,76
Finland,Nigeria,35
USA,Egypt,151
France,UAE,427
Greece,Colombia,215
Brazil,Greece,200
France,Poland,174
Australia,Spain,193
Saudi Arabia,Chile,233
China,India,246
Vietnam,Colombia,157
Iraq,Jordan,259
Hungary,Mexico,29
Saudi Arabia,India,279
Austria,South Korea,473
Philippines,Norway,179
Philippines,Ireland,104
UAE,Italy,383
Portugal,Israel,447
Italy,USA,187
Ukraine,UAE,117
Turkey,Colombia,246
Ghana,Argentina,382
Malaysia,Saudi Arabia,45
Czechia,Italy,19
Singapore,Saudi Arabia,129
USA,Iraq,347
Germany,Iran,84
Qatar,Hungary,430
Italy,Indonesia,132
Spain,Indonesia,450
Jordan,Argentina,281
Peru,Thailand,330
Austria,Turkey,273
Switzerland,Romania,221
Portugal,Russia,35
Spain,Ireland,455
Canada,USA,328
Canada,Austria,403
Russia,Austria,324
South Africa,Jordan,338
Russia,Israel,345
UK,South Africa,304
China,Czechia,28
Iran,Jordan,100
Kenya,UAE,407
India,Austria,92
Thailand,Hungary,311
Jordan,Turkey,102
Ghana,Chile,435
Israel,Spain,214
Finland,Spain,65
USA,Norway,89
Netherlands,Canada,141
Israel,South Africa,231
Romania,Australia,201
Thailand,UK,484
India,Saudi Arabia,410
Malaysia,Denmark,65
Oman,New Zealand,292
Australia,Germany,167
Kenya,Switzerland,21
Australia,Poland,434
Kenya,Austria,245
France,Vietnam,294
Qatar,Ukraine,381
Philippines,Ukraine,427
Chile,Israel,236
UAE,Germany,205
Nigeria,Germany,26
Japan,Ghana,480
Canada,Australia,317
Belgium,South Africa,189
Turkey,Austria,12
Russia,Norway,106
South Africa,Argentina,389
Romania,Argentina,181
Portugal,Czechia,168
Belgium,Poland,432
Ukraine,Hungary,155
Vietnam,Netherlands,8
Philippines,Germany,376
South Korea,Netherlands,253
South Africa,Ireland,377
Spain,Colombia,102
Finland,Switzerland,165
Japan,Kenya,209
Italy,Sweden,495
France,Austria,167
Czechia,Japan,141
Hungary,Thailand,400
Russia,Kenya,276
Belgium,South Korea,51
India,Nigeria,215
South Africa,Egypt,72
Ghana,Oman,337
Greece,Germany,416
Brazil,Canada,124
Jordan,Greece,214
Nigeria,Portugal,4
Thailand,Philippines,481
Iran,Vietnam,186
Russia,Philippines,469
Russia,Italy,213
Poland,Argentina,75
Israel,Philippines,489
South Korea,Indonesia,423
France,Qatar,375
Portugal,France,32
Denmark,Qatar,484
Sweden,South Korea,245
Austria,Belgium,422
Argentina,Australia,150
Nigeria,Hungary,96
Romania,Switzerland,65
Belgium,Norway,324
Nigeria,South Korea,455
Finland,Ghana,496
Kenya,Egypt,310
India,Denmark,484
Switzerland,Peru,90
Sweden,South Africa,385
Germany,Ireland,322
Romania,Norway,477
Kenya,Russia,221
Spain,Finland,45
Israel,Saudi Arabia,378
Argentina,India,247
UK,India,84
New Zealand,Belgium,164
Iran,Germany,323
Mexico,Thailand,194
Denmark,China,446
Romania,Philippines,5
Vietnam,Denmark,489
Vietnam,South Korea,181
Malaysia,Hungary,470
Switzerland,Japan,18
Russia,Ireland,32
China,Philippines,122
Vietnam,Egypt,92
Thailand,Ukraine,365
Russia,Turkey,220
Thailand,Finland,124
Germany,Hungary,350
China,Mexico,236
Iraq,Czechia,349
Singapore,Spain,383
Portugal,Belgium,38
Vietnam,Peru,167
Peru,Belgium,272
Russia,South Korea,296
Brazil,Russia,224
Kenya,Finland,249
Saudi Arabia,Egypt,300
Denmark,Sweden,3
Brazil,Kenya,324
Iran,South Korea,429
Egypt,Singapore,461
Czechia,Iran,284
Israel,South Africa,467
Hungary,South Korea,409
Austria,USA,448
Singapore,Switzerland,292
Brazil,South Korea,361
Ghana,China,202
Greece,Indonesia,173
Mexico,Indonesia,78
Canada,Iraq,44
Netherlands,Germany,251
Brazil,Ghana,5
Kenya,Ireland,92
Ireland,Kenya,195
Israel,Philippines,69
Singapore,Denmark,139
Iran,South Africa,15
Mexico,Philippines,202
Kenya,Hungary,410
Indonesia,Finland,66
Saudi Arabia,China,264
Peru,UK,373
Belgium,Iraq,368
Oman,Egypt,335
Kenya,Netherlands,463
Germany,Sweden,96
Canada,Saudi Arabia,351
Romania,Sweden,331
France,Qatar,20
Peru,Thailand,232
Norway,Canada,477
Denmark,Kenya,270
Germany,UAE,376
Greece,Qatar,154
Iraq,Italy,80
Japan,Russia,70
Belgium,Greece,71
Ukraine,Brazil,191
Oman,Spain,270
Saudi Arabia,Vietnam,255
India,Belgium,349
Malaysia,France,365
New Zealand,Peru,277
Ghana,Austria,59
Russia,Argentina,360
Hungary,Italy,402
Vietnam,Israel,221
Norway,Italy,65
Iran,Czechia,100
France,Ukraine,101
China,Norway,373
Malaysia,Brazil,58
Austria,China,456
South Korea,Canada,311
Saudi Arabia,Iran,294
Finland,Portugal,264
Brazil,USA,473
Belgium,Turkey,263
Argentina,Hungary,397
New Zealand,USA,473
Germany,Ghana,43
Hungary,Ukraine,28
Jordan,Egypt,116
Ghana,Canada,136
Germany,Argentina,359
Iraq,Romania,300
Indonesia,Belgium,390
Ukraine,Oman,221
Sweden,Nigeria,362
Romania,South Africa,486
UK,Brazil,81
UK,Portugal,305
Poland,UAE,459
Portugal,Singapore,99
Finland,Vietnam,313
Thailand,Sweden,448
China,Philippines,179
Russia,Indonesia,333
Singapore,Australia,201
Vietnam,Finland,409
Finland,Australia,69
Austria,New Zealand,394
Argentina,Austria,408
India,Poland,244
Peru,Oman,66
Germany,Ireland,21
Denmark,Qatar,352
Austria,Argentina,10
UAE,Qatar,244
Brazil,New Zealand,193
Greece,Canada,370
Australia,France,398
Ukraine,Thailand,184
Argentina,Egypt,41
Kenya,Turkey,457
Japan,Indonesia,480
Austria,Indonesia,153
Austria,UK,191
Belgium,USA,401
Switzerland,Czechia,465
Qatar,Greece,63
France,Chile,494
UK,Jordan,44
China,Switzerland,223
Germany,Austria,76
Russia,South Korea,389
Switzerland,Vietnam,392
China,Greece,295
Australia,Oman,94
Philippines,Ghana,100
Indonesia,Peru,234
UAE,Hungary,400
Japan,Greece,390
Colombia,Iran,357
Finland,Vietnam,323
Mexico,Hungary,41
Brazil,Italy,184
South Africa,Kenya,168
Saudi Arabia,South Africa,104
Romania,Ukraine,74
Mexico,Malaysia,397
Hungary,Czechia,250
USA,Ireland,328
Turkey,South Africa,475
France,Sweden,338
Kenya,Iraq,471
New Zealand,Ireland,32
France,Denmark,420
France,Mexico,443
Romania,South Africa,373
Romania,Peru,287
Switzerland,Vietnam,91
Qatar,Saudi Arabia,183
Switzerland,Argentina,226
Turkey,Iraq,228
Jordan,Israel,199
Spain,South Africa,35
Philippines,Norway,324
Thailand,UAE,301
Ireland,China,32
Austria,Denmark,50
Russia,Thailand,107
Spain,UK,407
Iran,Philippines,336
Iraq,Iran,58
Saudi Arabia,Ukraine,364
Saudi Arabia,Chile,40
Switzerland,Austria,40
Russia,Qatar,124
USA,China,300
Iran,Philippines,229
Hungary,Oman,144
Italy,Hungary,479
South Africa,South Korea,175
India,New Zealand,443
India,Egypt,435
Philippines,Jordan,414
Netherlands,Chile,373
Iran,Argentina,255
Germany,Peru,261
Italy,Poland,357
UK,Argentina,474
Kenya,New Zealand,149
Vietnam,Denmark,279
Italy,Iraq,419
Greece,Switzerland,430
Japan,Chile,496
New Zealand,Qatar,497
Italy,Finland,122
Oman,Germany,340
Singapore,Kenya,376
Thailand,Singapore,483
UK,Canada,387
Greece,Austria,20
South Korea,Australia,44
Spain,Singapore,383
Thailand,Kenya,68
Iran,Vietnam,266
Canada,Greece,289
Canada,Mexico,491
Peru,South Korea,431
Australia,Egypt,241
Netherlands,Romania,35
Norway,Indonesia,460
Germany,UAE,393
Russia,Peru,487
Thailand,Turkey,193
Australia,Jordan,476
Denmark,Israel,392
Sweden,Russia,375
Kenya,Hungary,225
Iran,Argentina,119
Italy,Spain,16
Nigeria,Portugal,130
China,Kenya,292
Vietnam,Portugal,303
Australia,Czechia,296
USA,China,300
Philippines,Greece,328
Finland,Peru,356
Belgium,Saudi Arabia,92
Turkey,Saudi Arabia,87
Belgium,Israel,58
Denmark,Romania,481
Switzerland,Austria,317
Iraq,Malaysia,6
Chile,Jordan,104
Germany,Norway,263
Poland,Finland,136
Turkey,Jordan,309
Greece,Ireland,368
Germany,Qatar,11
Turkey,USA,392
Denmark,Peru,1
UAE,Poland,357
Chile,Egypt,489
Kenya,Iraq,273
Ireland,Spain,34
Qatar,Russia,492
Finland,Colombia,485
Portugal,UK,486
Thailand,Brazil,82
Israel,Saudi Arabia,200
Greece,Austria,92
Ireland,Jordan,209
South Korea,Australia,470
Thailand,Norway,273
Switzerland,New Zealand,35
Ireland,Argentina,413
Israel,New Zealand,26
Czechia,Philippines,403
France,Argentina,307
USA,Austria,7
Ghana,Denmark,485
Iraq,UAE,187
Switzerland,Kenya,407
Iraq,Oman,57
Iran,Ireland,248
Finland,Colombia,398
Ghana,France,354
Ireland,Ghana,292
Czechia,Iraq,225
Mexico,Thailand,314
Ukraine,Spain,204
Saudi Arabia,China,500
China,Israel,217
UAE,Brazil,465
Israel,Nigeria,30
Chile,UAE,28
Saudi Arabia,Oman,36
Singapore,Germany,135
South Africa,France,117
Netherlands,UK,336
Spain,Portugal,137
Mexico,Nigeria,102
Chile,Israel,74
Chile,Czechia,206
Australia,Philippines,413
Oman,India,20
Romania,China,419
India,Finland,268
South Africa,Mexico,12
Ukraine,New Zealand,143
Hungary,Malaysia,18
China,Israel,432
Egypt,Peru,287
Poland,Philippines,470
Finland,France,380
UK,Germany,50
Saudi Arabia,Ireland,452
Russia,Qatar,121
New Zealand,USA,39
Belgium,Portugal,193
Greece,Switzerland,182
Chile,Mexico,182
UK,Turkey,73
Italy,Vietnam,424
Jordan,Finland,324
Canada,Austria,409
China,Jordan,223
Australia,Malaysia,227
Ghana,Saudi Arabia,469
Mexico,Ghana,204
Oman,Colombia,227
Indonesia,UAE,149
Colombia,Australia,70
Nigeria,South Africa,486
Hungary,Peru,403
Turkey,Austria,6
Nigeria,Turkey,269
Greece,Brazil,487
Oman,Israel,357
Romania,Singapore,80
Nigeria,Canada,180
Peru,Italy,282
Portugal,Argentina,426
South Korea,Colombia,298
Nigeria,Romania,230
Israel,Poland,378
Vietnam,India,216
UAE,Argentina,277
Singapore,France,352
Egypt,Germany,32
Iran,Egypt,353
Indonesia,Colombia,70
Sweden,France,400
Ireland,Ukraine,125
Saudi Arabia,Iraq,331
Poland,Iran,399
Saudi Arabia,Russia,307
Finland,South Africa,292
Israel,Switzerland,30
South Korea,Qatar,473
Austria,Saudi Arabia,465
USA,France,85
Peru,Greece,95
China,Brazil,408
Iran,Switzerland,129
Oman,Portugal,93
Finland,Australia,160
UAE,Norway,343
Australia,Germany,450
Vietnam,Iraq,318
Malaysia,Egypt,300
Poland,Sweden,4
Qatar,Portugal,419
Chile,Egypt,208
USA,Indonesia,464
Switzerland,Colombia,396
Turkey,Italy,96
Colombia,Italy,163
Kenya,Finland,211
Vietnam,Malaysia,118
Qatar,Austria,104
Brazil,Germany,403
Colombia,Japan,19
Chile,Mexico,424
Iraq,Austria,234
Switzerland,Russia,178
Austria,Australia,111
Indonesia,Canada,204
UAE,New Zealand,326
Saudi Arabia,Japan,184
Iran,Romania,282
Israel,Indonesia,412
Israel,Belgium,169
Philippines,Ghana,185
Egypt,Japan,456
Chile,Iraq,135
Austria,Saudi Arabia,469
Colombia,Ghana,302
Thailand,Iran,34
New Zealand,Finland,460
Ireland,Kenya,490
Mexico,Austria,184
Belgium,Greece,133
Brazil,Ghana,191
Ukraine,Netherlands,380
Russia,Colombia,101
India,Norway,24
Indonesia,Hungary,316
Sweden,Switzerland,302
UAE,Spain,109
UK,India,429
Argentina,Spain,319
Romania,Sweden,204
Norway,Ireland,479
Austria,Singapore,338
Austria,Ghana,307
Greece,Norway,491
Czechia,Italy,82
Ghana,Philippines,135
UK,Singapore,459
Chile,Kenya,32
Qatar,Colombia,156
Norway,Jordan,156
Austria,Sweden,220
UAE,UK,482
USA,Peru,31
Greece,Nigeria,410
Singapore,Indonesia,115
Italy,Qatar,22
Brazil,Romania,259
Turkey,Denmark,477
Sweden,Colombia,456
Japan,Sweden,355
New Zealand,Nigeria,497
Qatar,Jordan,249
Canada,Singapore,252
UAE,Thailand,417
Argentina,Australia,270
Egypt,France,387
Argentina,India,285
Philippines,USA,251
Vietnam,Netherlands,286
Belgium,Indonesia,128
Kenya,Saudi Arabia,441
Singapore,UK,189
Norway,Argentina,496
Malaysia,Vietnam,189
Ghana,Peru,319
Saudi Arabia,Iran,298
India,Hungary,491
Iran,Belgium,463
Indonesia,Oman,315
Brazil,Vietnam,339
Iran,Australia,248
Argentina,Belgium,377
Oman,Czechia,488
Norway,Spain,385
Sweden,Australia,478
Norway,Spain,388
Iran,Czechia,29
Vietnam,Colombia,62
Mexico,Jordan,155
USA,South Korea,196
Egypt,Belgium,254
Colombia,Belgium,285
Saudi Arabia,USA,286
Ireland,Portugal,430
Italy,Argentina,51
Hungary,New Zealand,40
Thailand,Romania,444
Philippines,France,140
Qatar,New Zealand,196
Indonesia,Japan,118
Iraq,Singapore,157
Indonesia,USA,196
Hungary,Argentina,406
Austria,Spain,486
Israel,Peru,110
Belgium,Egypt,355
Austria,Brazil,256
Saudi Arabia,Czechia,469
India,Norway,81
Malaysia,Colombia,152
Peru,Switzerland,224
Singapore,Japan,413
UAE,Turkey,371
Switzerland,Poland,43
Finland,Iraq,46
Vietnam,Saudi Arabia,155
Vietnam,South Korea,136
Jordan,Portugal,247
Canada,Germany,479
Portugal,New Zealand,443
Qatar,Switzerland,177
Singapore,Japan,180
Oman,China,121
Kenya,Oman,482
Portugal,Nigeria,107
Greece,Malaysia,422
Russia,Indonesia,470
Ireland,Indonesia,357
Norway,UK,76
USA,Turkey,472
Czechia,Belgium,268
UAE,Mexico,257
Oman,Colombia,391
Czechia,Israel,28
Belgium,Oman,481
Canada,Nigeria,230
Peru,Mexico,368
Qatar,Austria,83
Hungary,Belgium,120
Ghana,Kenya,305
Iran,Poland,421
Finland,France,267
Qatar,Russia,195
Vietnam,Qatar,278
Greece,Nigeria,269
Finland,India,45
Chile,Jordan,370
Israel,Vietnam,298
Vietnam,Poland,239
Brazil,Colombia,397
Peru,Australia,323
Singapore,Poland,99
Norway,China,180
Norway,Belgium,335
Turkey,New Zealand,392
Russia,Saudi Arabia,401
Argentina,Romania,351
Austria,Philippines,10
Portugal,Vietnam,226
Kenya,Iran,80
Argentina,China,44
UK,Egypt,119
Japan,South Africa,47
Ghana,Austria,104
Iraq,Hungary,196
Canada,Kenya,69
Poland,Peru,188
Oman,Netherlands,334
Peru,Finland,485
Germany,Greece,129
Philippines,Finland,483
Hungary,Sweden,494
Kenya,Finland,327
Ireland,Spain,484
Australia,Brazil,78
Indonesia,New Zealand,483
Saudi Arabia,Russia,218
Peru,Chile,445
Philippines,Spain,439
Thailand,Switzerland,301
India,Argentina,72
Egypt,Jordan,40
Turkey,Qatar,474
Colombia,Poland,233
Austria,Philippines,497
Belgium,Hungary,176
Switzerland,Ghana,478
Finland,China,375
Vietnam,Colombia,18
UAE,Argentina,387
Poland,Egypt,485
Saudi Arabia,Hungary,200
Iran,Portugal,58
Portugal,France,76
Vietnam,Ireland,80
Italy,Russia,144
Oman,Ukraine,32
Brazil,Austria,231
Poland,South Africa,307
Ireland,Argentina,264
Turkey,Vietnam,300
Mexico,Finland,418
India,Iraq,180
Poland,South Africa,360
Chile,Netherlands,28
Mexico,Saudi Arabia,167
Romania,Ireland,23
Netherlands,Kenya,17
Israel,Peru,259
Israel,Germany,254
UAE,Ukraine,96
France,USA,4
China,Switzerland,382
Peru,New Zealand,285
Argentina,Spain,189
Germany,Iran,363
Qatar,South Africa,238
Portugal,China,109
Qatar,Israel,402
Israel,Malaysia,488
Indonesia,Finland,377
South Korea,Czechia,196
Argentina,France,303
Belgium,Ukraine,62
Chile,USA,120
Belgium,Czechia,46
Ghana,Australia,118
Sweden,Argentina,185
Vietnam,Czechia,113
Russia,Ghana,250
Oman,Spain,385
Ukraine,Russia,497
Netherlands,Australia,75
Italy,New Zealand,120
Denmark,USA,459
Canada,Indonesia,306
Spain,South Korea,409
Colombia,France,496
India,Belgium,365
Brazil,India,90
Vietnam,Thailand,394
Portugal,Chile,332
Iraq,Nigeria,128
South Africa,Ghana,159
South Africa,France,216
Vietnam,South Korea,34
Turkey,Romania,135
Argentina,Russia,322
Finland,Italy,64
UAE,Mexico,460
Portugal,Japan,325
UK,Switzerland,143
Egypt,Turkey,191
Kenya,Japan,262
Egypt,Chile,237
Sweden,Kenya,127
Spain,Ireland,152
Sweden,Australia,145
Oman,Philippines,239
Kenya,Spain,171
Austria,Singapore,85
Thailand,Sweden,498
Israel,UAE,204
Malaysia,Colombia,311
Nigeria,Kenya,277
Kenya,Oman,340
Czechia,Qatar,49
Israel,Poland,269
Ireland,Italy,89
Poland,Nigeria,444
Austria,Spain,399
Colombia,Australia,418
Denmark,Norway,158
Sweden,Portugal,342
Ghana,Sweden,461
Argentina,New Zealand,323
Finland,Belgium,302
Czechia,South Africa,476
Egypt,Austria,337
South Korea,Brazil,102
Ghana,Czechia,128
Canada,Belgium,289
Turkey,Finland,245
Mexico,Spain,159
Netherlands,UK,91
Kenya,Vietnam,68
Saudi Arabia,Colombia,361
Nigeria,Qatar,382
Spain,Denmark,498
Saudi Arabia,Greece,381
Poland,Peru,129
Philippines,New Zealand,72
Jordan,Colombia,194
South Korea,Malaysia,373
Kenya,Indonesia,289
Spain,Norway,118
Israel,Sweden,478
Canada,Kenya,487
Qatar,Egypt,13
Mexico,Germany,152
Colombia,Thailand,203
Canada,Brazil,439
Chile,Ghana,27
Vietnam,Australia,58
Ukraine,Denmark,142
South Korea,Czechia,315
Malaysia,Hungary,287
Kenya,Denmark,330
UAE,Portugal,7
Ukraine,Netherlands,96
Thailand,South Korea,269
UAE,Jordan,284
China,Thailand,7
Jordan,Italy,355
South Korea,Colombia,227
USA,Poland,102
France,China,207
India,Greece,207
UAE,Switzerland,301
Australia,Brazil,148
Italy,Israel,419
Singapore,Denmark,8
France,Ireland,242
Argentina,Switzerland,211
Turkey,Switzerland,416
Oman,Ireland,475
UAE,Colombia,265
Nigeria,USA,285
Ireland,Kenya,461
Czechia,Qatar,17
Romania,Jordan,234
Iran,Poland,21
Israel,Belgium,272
Netherlands,USA,235
Iran,Ukraine,438
Qatar,Netherlands,475
Russia,Colombia,493
Portugal,Sweden,147
Philippines,Saudi Arabia,335
Italy,Spain,309
Romania,Oman,110
Austria,New Zealand,330
Peru,Iraq,102
Switzerland,Thailand,197
France,Iraq,331
Australia,South Korea,493
Argentina,Austria,30
Indonesia,Vietnam,167
New Zealand,Russia,491
Canada,Germany,144
Thailand,Russia,210
Iraq,Israel,99
Poland,Canada,16
